         1417048 function calls (1366078 primitive calls) in 36.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   36.207   36.207 c:\Users\dani1\source\repos\GameOnLife-Conway\Source\performance_test.py:26(measure_performance)
       40   32.839    0.821   32.840    0.821 c:\Users\dani1\source\repos\GameOnLife-Conway\Source\performance_test.py:8(step_python)
        1    0.000    0.000    2.655    2.655 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:344(_compile_for_args)
      7/1    0.000    0.000    2.509    2.509 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:858(compile)
      3/1    0.000    0.000    2.508    2.508 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:79(compile)
      3/1    0.000    0.000    2.508    2.508 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:86(_compile_cached)
      3/1    0.000    0.000    2.508    2.508 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\dispatcher.py:101(_compile_core)
      3/1    0.000    0.000    2.508    2.508 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:713(compile_extra)
  369/274    0.001    0.000    1.333    0.005 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
      4/1    0.000    0.000    1.260    1.260 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:433(compile_extra)
      4/1    0.000    0.000    1.259    1.259 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:500(_compile_bytecode)
      4/1    0.000    0.000    1.259    1.259 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:456(_compile_core)
      4/1    0.001    0.000    1.259    1.259 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler_machinery.py:342(run)
   108/27    0.005    0.000    1.258    0.047 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler_machinery.py:267(_runPass)
        4    0.000    0.000    1.252    0.313 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:391(__init__)
   324/81    0.001    0.000    1.252    0.015 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler_machinery.py:271(check)
   261/15    0.001    0.000    1.121    0.075 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:261(refresh)
  380/110    0.009    0.000    1.073    0.010 <frozen importlib._bootstrap>:1022(_find_and_load)
6322/5972    0.014    0.000    1.070    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   315/47    0.003    0.000    1.063    0.023 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   424/47    0.001    0.000    1.046    0.022 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      261    0.008    0.000    1.035    0.004 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\cpu.py:60(load_additional_registries)
   257/47    0.002    0.000    1.017    0.022 <frozen importlib._bootstrap>:664(_load_unlocked)
   149/40    0.001    0.000    1.013    0.025 {built-in method builtins.__import__}
   227/46    0.001    0.000    1.010    0.022 <frozen importlib._bootstrap_external>:877(exec_module)
      4/2    0.001    0.000    0.927    0.463 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typed_passes.py:437(run_pass)
   229/47    0.002    0.000    0.914    0.019 {built-in method builtins.exec}
    80/76    0.000    0.000    0.670    0.009 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\__init__.py:108(import_module)
